PG47405	Fiction	split	"Short Sixes": Stories to be Read While the Candle Burns	Bunner, H. C. (Henry Cuyler), 1855-1896; Griffin, S. B. [Illustrator]; Opper, Frederick Burr, 1857-1937 [Illustrator]; Taylor, Charles Jay, 1855-1929 [Illustrator]
PG43100	Fiction	split	"Tex"	Mulford, Clarence Edward, 1883-1956
PG23933	Fiction	split	'Twas the Night Before Christmas	Moore, Clement Clarke, 1779-1863
PG9356	Fiction	split	'Twixt Land and Sea	Conrad, Joseph, 1857-1924
PG6538	Science Fiction	failed	20,000 Leagues under the Sea	Verne, Jules, 1828-1905
PG47379	Fiction	split	A Bold Stroke for a Husband: A Comedy in Five Acts	Cowley, Hannah, 1743-1809; Inchbald, Mrs., 1753-1821 [Commentator]
PG47150	Fiction	split	A Book of Burlesque: Sketches of English Stage Travestie and Parody	Adams, William Davenport, 1851-1904
PG10190	Fiction	split	A Bunch of Nonsense: Vaudeville Specialty	Hill, Murry K., 1865-1942
PG9012	Fiction	split	A Burlesque Autobiography	Twain, Mark, 1835-1910
PG45749	Fiction	split	A Change of Air	Hope, Anthony, 1863-1933
PG9416	Fiction	split	A Changed Man and Other Tales	Hardy, Thomas, 1840-1928
PG46756	Fiction	split	A Chronicle History of the Life and Work of William Shakespeare Player, Poet, and Playmaker	Fleay, Frederick Gard, 1831-1909
PG47282	Fiction	split	A Country Sweetheart	Russell, Dora, 1830-1905
PG47246	Fiction	split	A Deal with the Devil	Phillpotts, Eden, 1862-1960
PG45628	Fiction	split	A Desperate Game: A Comic Drama in One Act	Morton, John Maddison, 1811-1891
PG28908	Poetry	split	A Dream within a Dream	Poe, Edgar Allan, 1809-1849
PG45871	Fiction	split	A Fleet in Being: Notes of Two Trips With The Channel Squadron	Kipling, Rudyard, 1865-1936; Wilkinson, Norman, 1882-1934 [Illustrator]
PG9683	Historical Fiction	split	A Journal of the Plague Year	Defoe, Daniel, 1661?-1731
PG8983	Science Fiction	split	A Journey to the Interior of the Earth	Verne, Jules, 1828-1905
PG47624	Fiction	split	A Lady of Rome	Crawford, F. Marion (Francis Marion), 1854-1909
PG9422	Fiction	split	A Laodicean	Hardy, Thomas, 1840-1928
PG47997	Fiction	split	A Life for a Life, Volume 1 (of 3)	Craik, Dinah Maria Mulock, 1826-1887
PG46044	Fiction	split	A Little Change: A Farce in One Scene	Grundy, Sydney, 1848-1914
PG45960	Fiction	split	A Naval Venture: The War Story of an Armoured Cruiser	Jeans, T. T. (Thomas Tendron); Gillett, Frank, 1874-1927 [Illustrator]
PG47195	Fiction	split	A Nest of Linnets	Moore, Frank Frankfort, 1855-1931; Jellicoe, John, 1842-1914 [Illustrator]
PG46001	Fiction	split	A Parody on Iolanthe	Dalziel, D. (Davison), 1852-1928; McVickar, H. W. (Harry Whitney), 1860-1905 [Illustrator]
PG48246	Fiction	split	A Parody on Princess Ida	Dalziel, D. (Davison), 1852-1928
PG46138	Fiction	split	A Rough Diamond: A Comic Drama in One Act	Buckstone, John Baldwin, 1802-1879
PG47528	Fiction	split	A Satire Anthology	Wells, Carolyn, 1862-1942 [Compiler]
PG45880	Mystery	split	A Secret Inheritance  (Volume 1 of 3)	Farjeon, B. L. (Benjamin Leopold), 1833-1903
PG45881	Mystery	split	A Secret Inheritance  (Volume 2 of 3)	Farjeon, B. L. (Benjamin Leopold), 1833-1903
PG45882	Mystery	split	A Secret Inheritance (Volume 3 of 3)	Farjeon, B. L. (Benjamin Leopold), 1833-1903
PG47170	Fiction	split	A Select Collection of Old English Plays, Volume 03	Hazlitt, William Carew, 1834-1913 [Editor]
PG45794	Fiction	split	A Select Collection of Old English Plays, Volume 05	Dodsley, Robert, 1703-1764 [Editor]; Hazlitt, William Carew, 1834-1913 [Editor]
PG46412	Fiction	split	A Select Collection of Old English Plays, Volume 10	Hazlitt, William Carew, 1834-1913 [Editor]
PG46791	Fiction	split	A Select Collection of Old English Plays, Volume 12	Dodsley, Robert, 1703-1764; Hazlitt, William Carew, 1834-1913 [Editor]
PG9349	Fiction	split	A Set of Six	Conrad, Joseph, 1857-1924
PG48215	Poetry	split	A Sheaf of Roses	Gordon, Elizabeth, 1866-1922
PG47705	Fiction	split	A Sister of the Red Cross: A Tale of the South African War	Meade, L. T., 1854-1914
PG48297	Adventure	split	A Soldier's Daughter, and Other Stories	Henty, G. A. (George Alfred), 1832-1902; Ewan, Frances [Illustrator]
PG47745	Fiction	split	A Sub and a Submarine: The Story of H.M. Submarine R19 in the Great War	Westerman, Percy F. (Percy Francis), 1876-1959; Hodgson, E. S. (Edward Smith), 1866-1937 [Illustrator]
PG46172	Fiction	split	A Tale of the Tow-Path	Greene, Homer, 1853-1940
PG47826	Fiction	split	A Tender Attachment: A Farce	Baker, George M. (George Melville), 1832-1890
PG48059	Poetry	split	A Vers de Société Anthology	Wells, Carolyn, 1862-1942 [Compiler]
PG46207	Fiction	split	A Vision of Venus; Or, A Midsummer-Night's Nightmare	Pleon, Harry
PG46547	Science Fiction	split	A Voyage to the Moon	Cyrano de Bergerac, 1619-1655; Page, Curtis Hidden, 1870-1946 [Editor]; Lovell, Archibald [Translator]
PG46966	Fiction	split	Adam Hepburn's Vow: A Tale of Kirk and Covenant	Swan, Annie S., 1859-1943
PG48320	Mystery	split	Adventures of Sherlock Holmes Illustrated	Doyle, Arthur Conan, 1859-1930
PG20591	Poetry	split	Aedh Wishes for the Cloths of Heaven	Yeats, W. B. (William Butler), 1865-1939
PG26458	Fiction	split	Age of Innocence	Wharton, Edith, 1862-1937
PG47016	Fiction	split	Ainslee's magazine, Volume 16, No. 2, September, 1905	Various
PG47017	Fiction	split	Ainslee's magazine, Volume 16, No. 3, October, 1905	Various
PG45494	Mystery	split	Airplane Boys in the Black Woods	Craine, E. J. (Edith Janice), 1881-
PG46586	Fiction	split	Alice Wilde: The Raftsman's Daughter. A Forest Romance	Victor, Metta Victoria Fuller, 1831-1885
PG47635	Fiction	split	Alice's blighted profession	Clifford, Helen C.
PG47098	Fiction	split	All Sorts and Conditions of Men: An Impossible Story	Besant, Walter, 1836-1901
PG9691	Fiction	split	All the Year Round	Dickens, Charles, 1812-1870
PG9344	Fiction	split	Almayer's Folly	Conrad, Joseph, 1857-1924
PG12714	Poetry	split	Alone	Poe, Edgar Allan, 1809-1849
PG46505	Fiction	split	Alone	Harland, Marion, 1830-1922
PG9027	Fiction	split	Alonzo Fitz and Other Stories	Twain, Mark, 1835-1910
PG46195	Fiction	split	An Accidental Honeymoon	Barron, Edward, 1874-1962; Gage, George W., 1887-1957 [Illustrator]; Holloway, Edward Stratton, 1859-1939 [Illustrator]
PG45925	Fiction	split	An American Girl in London	Duncan, Sara Jeannette, 1861-1922; Townsend, F. H. (Frederick Henry), 1868-1920 [Illustrator]
PG46645	Fiction	split	An English Garner: Ingatherings from Our History and Literature (4 of 8)	Arber, Edward, 1836-1912 [Editor]
PG47934	Poetry	split	An Old Man's Prayer	Baker, George M. (George Melville), 1832-1890; Billings, Hammatt, 1818-1874 [Illustrator]
PG43678	Fiction	split	Anne of Geierstein; Or, The Maiden of the Mist. Volume 1 (of 2)	Scott, Walter, 1771-1832; Lang, Andrew, 1844-1912 [Annotator]; Los Rios, R. de‏ (Ricardo), 1846-1929 [Illustrator]
PG20266	Poetry	split	Anthem for Doomed Youth	Owen, Wilfred, 1893-1918
PG10281	Fiction	split	Antony's Address over the Body of Caesar  From Julius Caesar	Humphrey, Harry E. (Harry Ervin), 1873-1947 [Performer]; Shakespeare, William, 1564-1616
PG10311	Fiction	split	Around the World on the Phonograph	Edison, Thomas A. (Thomas Alva), 1847-1931
PG48015	Fiction	split	Arrows of the Chace, vol. 2/2  being a collection of scattered letters published chiefly in the daily newspapers 1840-1880	Ruskin, John, 1819-1900
PG9283	Poetry	split	Artemis to Actaeon and Other Verses	Wharton, Edith, 1862-1937
PG45719	Fiction	split	Arundel	Benson, E. F. (Edward Frederic), 1867-1940
PG47618	Fiction	split	At His Gates: A Novel. Vol. 1 (of 3)	Oliphant, Mrs. (Margaret), 1828-1897
PG47619	Fiction	split	At His Gates: A Novel. Vol. 2 (of 3)	Oliphant, Mrs. (Margaret), 1828-1897
PG47620	Fiction	split	At His Gates: A Novel. Vol. 3 (of 3)	Oliphant, Mrs. (Margaret), 1828-1897
PG20267	Fiction	split	At The Bay	Mansfield, Katherine, 1888-1923
PG46623	Fiction	split	At War with Society; or, Tales of the Outcasts	M'Levy, James
PG10558	Fiction	split	Audio: Vanity Fair	Thackeray, William Makepeace, 1811-1863
PG45586	Poetry	split	Auld Lang Syne: Selections from the Papers of the "Pen and Pencil Club"	Various
PG45551	Fiction	split	Aunt Affable's Story of Old Mother Bantry and Her Cat	Anonymous
PG47525	Fiction	split	Aunt Crete's Emancipation	Hill, Grace Livingston, 1865-1947; Atwood, Clara E., 1874-1963 [Illustrator]
PG48020	Fiction	split	Aurora Floyd, Vol. 1  Fifth Edition	Braddon, M. E. (Mary Elizabeth), 1835-1915
PG48021	Fiction	split	Aurora Floyd, Vol. 2  Fifth Edition	Braddon, M. E. (Mary Elizabeth), 1835-1915
PG48022	Fiction	split	Aurora Floyd, Vol. 3  Fifth Edition	Braddon, M. E. (Mary Elizabeth), 1835-1915
PG48228	Fiction	split	Averil	Carey, Rosa Nouchette, 1840-1909
PG47431	Fiction	split	Babylon, Volume 1	Allen, Grant, 1848-1899; Macnab, P. (Peter), -1900 [Illustrator]
PG47432	Fiction	split	Babylon, Volume 2	Allen, Grant, 1848-1899; Macnab, P. (Peter), -1900 [Illustrator]
PG47433	Fiction	split	Babylon, Volume 3	Allen, Grant, 1848-1899; Macnab, P. (Peter), -1900 [Illustrator]
PG48095	Fiction	split	Back o' the Moon, and other stories	Onions, Oliver, 1873-1961
PG10193	Fiction	split	Backyard Conversation Between Mrs. Reilly and Mrs. Finnegan	Jones, Ada, 1873-1922 [Performer]; Porter, Steve, 1864-1936 [Performer]
PG45736	Poetry	split	Ballades and Rondeaus, Chants Royal, Sestinas, Villanelles, etc.	White, Gleeson, 1851-1898 [Editor]
PG47225	Poetry	split	Ballads and Poems of Tragic Life	Meredith, George, 1828-1909
PG45822	Fiction	split	Balsamo, the magician; or, the memoirs of a physician	Dumas, Alexandre, 1802-1870; Maquet, Auguste, 1813-1888; Williams, Henry Llewellyn, 1842- [Translator]
PG9732	Mystery	split	Barnaby Rudge	Dickens, Charles, 1812-1870
PG47290	Fiction	split	Barney Blake, the Boy Privateer; or, The Cruise of the Queer Fish	Johnstone, Herrick
PG47696	Fiction	split	Barry Blake of the Flying Fortress	Du Bois, Gaylord, 1899-1993; White, J. R. (Illustrator) [Illustrator]
PG46405	Fiction	split	Basil Everman	Singmaster, Elsie, 1879-1958
PG45492	Mystery	split	Bats in the Wall; or, The Mystery of Trinity Church-yard	Raymond, P. T.
PG46650	Fiction	split	Bayou Folk	Chopin, Kate, 1850-1904
PG45780	Fiction	split	Beaumont and Fletcher's Works, Vol. 05 of 10	Beaumont, Francis, 1584-1616; Fletcher, John, 1579-1625; Waller, A. R. (Alfred Rayney), 1867-1922 [Editor]
PG45781	Fiction	split	Beaumont and Fletcher's Works, Vol. 06 of 10	Beaumont, Francis, 1584-1616; Fletcher, John, 1579-1625; Waller, A. R. (Alfred Rayney), 1867-1922 [Editor]
PG47156	Fiction	split	Beaumont and Fletcher's Works, Vol. 07 of 10	Beaumont, Francis, 1584-1616; Fletcher, John, 1579-1625; Waller, A. R. (Alfred Rayney), 1867-1922 [Editor]
