PG5740	Nonfiction	pending		
PG6342	Nonfiction	needs_review		
PG6343	Nonfiction	needs_review		
PG7205	Nonfiction	needs_review		
PG7206	Nonfiction	needs_review		
PG13316	Nonfiction	needs_review		
PG13846	Nonfiction	needs_review		
PG19634	Nonfiction	pending		
PG19796	Nonfiction	pending		
PG20685	Nonfiction	pending		
PG23905	Nonfiction	pending		
PG26253	Nonfiction	pending		
PG29530	Nonfiction	pending		
PG15870	Poetry	uploaded	'Of Genius', in The Occasional Paper, and Preface to The Creation	Hill, Aaron, 1685-1750; Pahl, Gretchen Graf [Commentator]
PG9996	Philosophy	uploaded	'Tis Sixty Years Since" Address of Charles Francis Adams; Founders' Day, January 16, 1913	Adams, Charles Francis, 1835-1915
PG61651	Philosophy	deferred_repair	A Beginner's History of Philosophy, Vol. 1: Ancient and Mediæval Philosophy	Cushman, Herbert Ernest, 1865-1944
PG62663	Philosophy	deferred_repair	A Beginner's History of Philosophy, Vol. 2: Modern Philosophy	Cushman, Herbert Ernest, 1865-1944
PG34513	Religion	deferred_repair	A Biographical Dictionary of Freethinkers of All Ages and Nations	Wheeler, J. M. (Joseph Mazzini), 1850-1898
PG65484	Religion	deferred_repair	A Body of Divinity, Vol. 4 (of 4) Wherein the doctrines of the Christian religion are explained and defended, being the substance of several lectures on the Assembly's Larger Catechism	Ridgley, Thomas, 1667?-1734; Wilson, James P. (James Patriot), 1769-1830 [Annotator]
PG69199	Religion	uploaded	A boke made by John Fryth, prysoner in the Tower of London answerynge unto M. Mores letter, which he wrote agaynst the fyrste lytle treatyse that John Fryth made, concernynge the sacramente of the body and bloude of Christ	Frith, John, 1503-1533
PG56404	Religion	deferred_repair	A Book of Gems, or, Choice selections from the writings of Benjamin Franklin	Franklin, Benjamin, 1812-1878; Franklin, Joseph, 1834-1912 [Editor]; Headington, J. A. (Joel A.) [Editor]
PG57218	Religion	uploaded	A Book of Jewish Thoughts	Hertz, Joseph H. (Joseph Herman), 1872-1946 [Editor]
PG23100	Philosophy	deferred_repair	A Budget of Paradoxes, Volume I	De Morgan, Augustus, 1806-1871; Smith, David Eugene, 1860-1944 [Editor]
PG26408	Philosophy	uploaded	A Budget of Paradoxes, Volume II	De Morgan, Augustus, 1806-1871; Smith, David Eugene, 1860-1944 [Editor]
PG19003	Religion	uploaded	A Candid Examination of Theism	Romanes, George John, 1848-1894
PG37648	Poetry	uploaded	A Century of Emblems	Cautley, George Spencer, -1880
PG45811	Poetry	uploaded	A Chesterton Calendar Compiled from the writings of 'G.K.C.' both in verse and in prose. With a section apart for the moveable feasts.	Chesterton, G. K. (Gilbert Keith), 1874-1936
PG41633	Religion	deferred_repair	A Christian Directory, Part 1: Christian Ethics	Baxter, Richard, 1615-1691
PG43967	Religion	uploaded	A Christian Directory, Part 4: Christian Politics	Baxter, Richard, 1615-1691
PG14535	Religion	uploaded	A Christmas Sermon	Stevenson, Robert Louis, 1850-1894
PG57912	Philosophy	deferred_repair	A Class Room Logic Deductive and Inductive, with Special Application to the Science and Art of Teaching	McNair, George Hastings
