PG15870	Poetry	split	'Of Genius', in The Occasional Paper, and Preface to The Creation	Hill, Aaron, 1685-1750; Pahl, Gretchen Graf [Commentator]
PG9996	Philosophy	split	'Tis Sixty Years Since" Address of Charles Francis Adams; Founders' Day, January 16, 1913	Adams, Charles Francis, 1835-1915
PG14535	Religion	split	A Christmas Sermon	Stevenson, Robert Louis, 1850-1894
PG16423	Religion	split	A Coal From The Altar, To Kindle The Holy Fire of Zeale In a Sermon Preached at a Generall Visitation at Ipswich	Ward, Samuel, 1577-1640
PG16340	Philosophy	split	A Cynic Looks at Life	Bierce, Ambrose, 1842-1914?; Haldeman-Julius, E. (Emanuel), 1888-1951 [Editor]
PG14746	Religion	split	A dialoge or communication of two persons Deuysyd and set forthe in the late[n] tonge, by the noble and famose clarke. Desiderius Erasmus intituled [the] pylgremage of pure deuotyon. Newly tra[n]slatyd into Englishe.	Erasmus, Desiderius, 1469-1536
PG15017	Philosophy	split	A Dialogue Concerning Oratory, or the Causes of Corrupt Eloquence The Works of Cornelius Tacitus, Volume 8 (of 8); With an Essay on His Life and Genius, Notes, Supplements	Tacitus, Cornelius, 56-117; Murphy, Arthur, 1727-1805 [Editor]
PG11136	Philosophy	split	A Discourse Upon the Origin and the Foundation of the Inequality Among Mankind	Rousseau, Jean-Jacques, 1712-1778
PG9393	Philosophy	deferred_repair	A Dish of Orts : Chiefly Papers on the Imagination, and on Shakespeare	MacDonald, George, 1824-1905
PG8881	Fiction	split	A Fleece of Gold; Five Lessons from the Fable of Jason and the Golden Fleece	Given, Charles Stewart
PG7514	Philosophy	split	A Guide to Stoicism	Stock, St. George William Joseph, 1850-
PG7176	Religion	split	A Letter to a Hindu	Tolstoy, Leo, graf, 1828-1910
PG10591	Religion	split	A Lie Never Justifiable: A Study in Ethics	Trumbull, H. Clay (Henry Clay), 1830-1903
PG10050	Fiction	split	A Little Pilgrim: Stories of the Seen and the Unseen	Oliphant, Mrs. (Margaret), 1828-1897
PG6424	Fiction	deferred_repair	A Modern Utopia	Wells, H. G. (Herbert George), 1866-1946
PG15649	Philosophy	split	A philosophicall essay for the reunion of the languages	Besnier, Pierre, 1648-1705
PG11984	Philosophy	split	A Pluralistic Universe Hibbert Lectures at Manchester College on the Present Situation in Philosophy	James, William, 1842-1910
PG13433	Religion	split	A Reply to Dr. Lightfoot's Essays, by the Author of "Supernatural religion	Cassels, Walter Richard, 1826-1907
PG9399	Fiction	split	A Roman Lawyer in Jerusalem : First Century	Story, William Wetmore, 1819-1895
PG10661	Philosophy	split	A Selection from the Discourses of Epictetus with the Encheiridion	Epictetus, 55-135; Long, George, 1800-1879 [Translator]
PG13407	Religion	split	A Series of Lessons in Gnani Yoga: The Yoga of Wisdom	Atkinson, William Walker, 1862-1932
PG13656	Religion	split	A Series of Lessons in Raja Yoga	Atkinson, William Walker, 1862-1932
PG15910	Philosophy	split	A Short View of the Frauds and Abuses Committed by Apothecaries As well in Relation to Patients, as Physicians: And Of the only Remedy thereof by Physicians making their own Medicines.	Merret, Christopher, 1614-1695
PG4723	Philosophy	split	A Treatise Concerning the Principles of Human Knowledge	Berkeley, George, 1685-1753
PG10108	Religion	split	A Treatise of Daunses, Wherin It is Shewed, That They Are as It Were Accessories and Dependants (Or Thynges Annexed) to Whoredome Where Also by the Way is Touched and Proued, That Playes Are Ioyned and Knit Togeather in a Rancke or Rowe with Them (1581)	Anonymous
PG4705	Philosophy	deferred_repair	A Treatise of Human Nature	Hume, David, 1711-1776
PG418	Religion	split	A Treatise on Good Works	Luther, Martin, 1483-1546; Reu, Johann Michael, 1869-1943 [Translator]
PG16246	Drama	split	A Very Pleasaunt & Fruitful Diologe Called the Epicure	Erasmus, Desiderius, 1469-1536
PG4232	Philosophy	deferred_repair	A Week on the Concord and Merrimack Rivers	Thoreau, Henry David, 1817-1862
PG14629	Religion	split	A Wonderful Night; An Interpretation of Christmas	Snowden, James H. (James Henry), 1852-1936
PG10605	Philosophy	split	Adventures in Contentment	Grayson, David, 1870-1946
PG10592	Philosophy	split	Adventures in Friendship	Grayson, David, 1870-1946
PG9306	Philosophy	split	Aesthetic as Science of Expression and General Linguistic	Croce, Benedetto, 1866-1952; Ainslie, Douglas, 1865-1948 [Translator]
PG1676	Philosophy	split	Alcibiades I	Plato, 428? BCE-348? BCE [Dubious author]
PG1677	Philosophy	split	Alcibiades II	Plato, 428? BCE-348? BCE [Dubious author]
PG1275	Philosophy	split	Alexandria and Her Schools Four Lectures Delivered at the Philosophical Institution, Edinburgh	Kingsley, Charles, 1819-1875
PG4589	Fiction	split	All's for the Best	Arthur, T. S. (Timothy Shay), 1809-1885
PG15895	Fiction	split	Allegories of Life	Adams, J. S., Mrs., 1845-1885
PG10112	Philosophy	split	American Political Ideas Viewed from the Standpoint of Universal History	Fiske, John, 1842-1901
PG8545	Philosophy	deferred_repair	Amiel's Journal: The Journal Intime of Henri-Frédéric Amiel	Amiel, Henri Frédéric, 1821-1881; Ward, Humphry, Mrs., 1851-1920 [Translator]
